Customer_ID,Customer_Name,Age,Gender,Location,Order_ID,Order_Date,Product_Category,Product_Name,Purchase_Amount ($),Payment_Method,Recency (Days),Frequency (Orders),Monetary (Total Spend $)
C0070,Customer 70,61,Female,Houston,O1070,2023-03-11,Sports,Lipstick,1927,Net Banking,199,44,84788
C0071,Customer 71,51,Male,Chicago,O1071,2023-03-12,Beauty,Running Shoes,427,Net Banking,271,8,3416
C0072,Customer 72,27,Male,New York,O1072,2023-03-13,Home Decor,Running Shoes,565,PayPal,234,2,1130
C0073,Customer 73,53,Male,Miami,O1073,2023-03-14,Sports,Smartphone,1816,PayPal,46,6,10896
C0074,Customer 74,31,Male,Chicago,O1074,2023-03-15,Beauty,Table Lamp,1111,Credit Card,64,31,34441
C0075,Customer 75,48,Male,Los Angeles,O1075,2023-03-16,Sports,Handbag,335,Credit Card,230,10,3350
C0076,Customer 76,32,Female,New York,O1076,2023-03-17,Fashion,Table Lamp,1723,Net Banking,249,44,75812
C0077,Customer 77,25,Female,Houston,O1077,2023-03-18,Fashion,Running Shoes,1390,Net Banking,246,21,29190
C0078,Customer 78,31,Female,New York,O1078,2023-03-19,Electronics,Lipstick,1449,Debit Card,75,42,60858
C0079,Customer 79,40,Male,Los Angeles,O1079,2023-03-20,Electronics,Handbag,1996,Net Banking,157,10,19960
C0080,Customer 80,57,Female,Miami,O1080,2023-03-21,Fashion,Smartphone,524,Credit Card,223,23,12052
C0081,Customer 81,38,Male,Miami,O1081,2023-03-22,Sports,Handbag,223,Credit Card,190,3,669
C0082,Customer 82,33,Male,Miami,O1082,2023-03-23,Fashion,Smartphone,1887,Credit Card,52,32,60384
C0083,Customer 83,62,Male,Houston,O1083,2023-03-24,Electronics,Handbag,83,PayPal,88,20,1660
C0084,Customer 84,35,Male,Chicago,O1084,2023-03-25,Fashion,Smartphone,1596,PayPal,313,10,15960
C0085,Customer 85,64,Female,Chicago,O1085,2023-03-26,Fashion,Smartphone,1612,Net Banking,339,29,46748
C0086,Customer 86,41,Female,New York,O1086,2023-03-27,Sports,Handbag,518,Debit Card,66,41,21238
C0087,Customer 87,43,Male,Houston,O1087,2023-03-28,Beauty,Handbag,341,Debit Card,150,46,15686
C0088,Customer 88,42,Female,Miami,O1088,2023-03-29,Electronics,Smartphone,1126,Debit Card,20,34,38284
C0089,Customer 89,62,Male,Miami,O1089,2023-03-30,Sports,Running Shoes,697,PayPal,33,37,25789
C0090,Customer 90,58,Female,Los Angeles,O1090,2023-03-31,Fashion,Handbag,666,Credit Card,328,20,13320
C0091,Customer 91,46,Female,Los Angeles,O1091,2023-04-01,Fashion,Table Lamp,1552,Credit Card,281,8,12416
C0092,Customer 92,32,Male,Miami,O1092,2023-04-02,Beauty,Lipstick,1302,PayPal,46,7,9114
C0093,Customer 93,62,Female,Miami,O1093,2023-04-03,Electronics,Smartphone,1409,Debit Card,73,6,8454
C0094,Customer 94,18,Male,Houston,O1094,2023-04-04,Electronics,Smartphone,1867,Debit Card,354,11,20537
C0095,Customer 95,42,Female,Chicago,O1095,2023-04-05,Home Decor,Lipstick,1037,Net Banking,313,44,45628
C0096,Customer 96,24,Male,Los Angeles,O1096,2023-04-06,Electronics,Running Shoes,1171,Net Banking,343,18,21078
C0097,Customer 97,26,Male,Chicago,O1097,2023-04-07,Beauty,Lipstick,1264,Debit Card,133,42,53088
C0098,Customer 98,41,Female,Houston,O1098,2023-04-08,Home Decor,Handbag,609,PayPal,55,29,17661
C0099,Customer 99,18,Female,Miami,O1099,2023-04-09,Home Decor,Lipstick,1562,Debit Card,61,25,39050
C0100,Customer 100,61,Male,Chicago,O1100,2023-04-10,Fashion,Smartphone,1085,Net Banking,345,21,22785
C0101,Customer 101,25,Female,Miami,O1101,2023-04-11,Fashion,Lipstick,1679,Debit Card,8,46,77234
C0102,Customer 102,41,Female,Miami,O1102,2023-04-12,Electronics,Table Lamp,1756,PayPal,272,3,5268
C0103,Customer 103,28,Male,New York,O1103,2023-04-13,Home Decor,Handbag,334,Credit Card,246,18,6012
C0104,Customer 104,34,Male,Chicago,O1104,2023-04-14,Fashion,Lipstick,1001,PayPal,176,24,24024
C0105,Customer 105,25,Female,Chicago,O1105,2023-04-15,Beauty,Smartphone,1938,PayPal,116,47,91086
C0106,Customer 106,52,Male,Miami,O1106,2023-04-16,Fashion,Handbag,1764,Net Banking,317,38,67032
C0107,Customer 107,52,Male,Houston,O1107,2023-04-17,Fashion,Smartphone,726,PayPal,271,10,7260
C0108,Customer 108,50,Male,New York,O1108,2023-04-18,Home Decor,Running Shoes,732,PayPal,193,27,19764
C0109,Customer 109,22,Female,Miami,O1109,2023-04-19,Home Decor,Table Lamp,286,Net Banking,150,12,3432
C0110,Customer 110,59,Female,Los Angeles,O1110,2023-04-20,Sports,Running Shoes,545,Net Banking,131,7,3815
C0111,Customer 111,56,Male,Los Angeles,O1111,2023-04-21,Beauty,Table Lamp,1519,Credit Card,102,17,25823
C0112,Customer 112,58,Female,New York,O1112,2023-04-22,Home Decor,Lipstick,1549,Debit Card,310,1,1549
C0113,Customer 113,45,Male,Houston,O1113,2023-04-23,Electronics,Handbag,161,PayPal,270,26,4186
C0114,Customer 114,24,Female,Miami,O1114,2023-04-24,Beauty,Lipstick,964,Net Banking,292,15,14460
C0115,Customer 115,26,Male,Chicago,O1115,2023-04-25,Beauty,Table Lamp,1516,Credit Card,210,33,50028
C0116,Customer 116,25,Male,New York,O1116,2023-04-26,Home Decor,Table Lamp,268,Debit Card,361,37,9916
C0117,Customer 117,29,Female,Houston,O1117,2023-04-27,Beauty,Table Lamp,333,Net Banking,338,47,15651
C0118,Customer 118,51,Male,Chicago,O1118,2023-04-28,Home Decor,Smartphone,1026,Debit Card,67,31,31806
C0119,Customer 119,50,Female,Los Angeles,O1119,2023-04-29,Fashion,Handbag,878,Debit Card,10,35,30730
C0120,Customer 120,40,Female,Los Angeles,O1120,2023-04-30,Sports,Lipstick,1201,PayPal,49,1,1201
C0121,Customer 121,41,Male,Chicago,O1121,2023-05-01,Fashion,Lipstick,697,PayPal,111,8,5576
C0122,Customer 122,54,Male,New York,O1122,2023-05-02,Home Decor,Running Shoes,319,Net Banking,321,12,3828
C0123,Customer 123,52,Female,Los Angeles,O1123,2023-05-03,Home Decor,Table Lamp,812,Debit Card,219,19,15428
C0124,Customer 124,61,Male,Miami,O1124,2023-05-04,Fashion,Table Lamp,1512,Net Banking,57,25,37800
C0125,Customer 125,57,Male,Chicago,O1125,2023-05-05,Electronics,Table Lamp,1089,Net Banking,283,32,34848
C0126,Customer 126,39,Male,Chicago,O1126,2023-05-06,Electronics,Lipstick,629,Debit Card,113,12,7548
C0127,Customer 127,44,Male,Los Angeles,O1127,2023-05-07,Electronics,Running Shoes,482,Net Banking,133,13,6266
C0128,Customer 128,52,Male,New York,O1128,2023-05-08,Home Decor,Smartphone,1329,Debit Card,71,28,37212
C0129,Customer 129,18,Female,Miami,O1129,2023-05-09,Beauty,Handbag,470,Debit Card,83,1,470
C0130,Customer 130,52,Female,New York,O1130,2023-05-10,Home Decor,Smartphone,1357,Debit Card,57,6,8142
C0131,Customer 131,54,Male,Houston,O1131,2023-05-11,Beauty,Lipstick,823,Debit Card,349,8,6584
C0132,Customer 132,64,Male,Houston,O1132,2023-05-12,Fashion,Table Lamp,855,Credit Card,271,4,3420
C0133,Customer 133,31,Male,Los Angeles,O1133,2023-05-13,Sports,Handbag,1174,Debit Card,111,5,5870
C0134,Customer 134,20,Female,Los Angeles,O1134,2023-05-14,Beauty,Lipstick,676,PayPal,357,25,16900
C0135,Customer 135,18,Male,Los Angeles,O1135,2023-05-15,Electronics,Lipstick,271,PayPal,76,22,5962
C0136,Customer 136,22,Female,Houston,O1136,2023-05-16,Home Decor,Lipstick,1818,PayPal,158,28,50904
C0137,Customer 137,43,Female,New York,O1137,2023-05-17,Fashion,Handbag,1453,Debit Card,20,39,56667
C0138,Customer 138,31,Female,New York,O1138,2023-05-18,Electronics,Handbag,1777,PayPal,131,23,40871
C0139,Customer 139,56,Male,Los Angeles,O1139,2023-05-19,Fashion,Running Shoes,1274,Credit Card,329,4,5096
C0140,Customer 140,44,Female,Miami,O1140,2023-05-20,Sports,Running Shoes,364,Net Banking,122,4,1456
C0141,Customer 141,26,Male,New York,O1141,2023-05-21,Home Decor,Smartphone,1882,Debit Card,41,47,88454
C0142,Customer 142,32,Female,Houston,O1142,2023-05-22,Home Decor,Handbag,779,PayPal,167,21,16359
C0143,Customer 143,32,Male,Chicago,O1143,2023-05-23,Sports,Handbag,1794,Credit Card,130,37,66378
C0144,Customer 144,43,Female,Chicago,O1144,2023-05-24,Home Decor,Handbag,1622,Net Banking,23,41,66502
C0145,Customer 145,59,Male,Chicago,O1145,2023-05-25,Beauty,Running Shoes,189,Credit Card,279,2,378
C0146,Customer 146,30,Female,Miami,O1146,2023-05-26,Fashion,Lipstick,75,PayPal,251,7,525
C0147,Customer 147,49,Male,Los Angeles,O1147,2023-05-27,Electronics,Table Lamp,829,Credit Card,9,49,40621
C0148,Customer 148,56,Male,Houston,O1148,2023-05-28,Sports,Running Shoes,1381,Net Banking,13,16,22096
C0149,Customer 149,49,Male,Miami,O1149,2023-05-29,Beauty,Handbag,180,PayPal,307,17,3060
C0150,Customer 150,21,Male,Houston,O1150,2023-05-30,Electronics,Running Shoes,483,Net Banking,320,20,9660
C0151,Customer 151,47,Female,Houston,O1151,2023-05-31,Electronics,Smartphone,543,Credit Card,52,23,12489
C0152,Customer 152,54,Female,Los Angeles,O1152,2023-06-01,Sports,Handbag,1400,Debit Card,209,34,47600
C0153,Customer 153,40,Male,Chicago,O1153,2023-06-02,Beauty,Smartphone,1140,Debit Card,38,11,12540
C0154,Customer 154,56,Female,Los Angeles,O1154,2023-06-03,Electronics,Handbag,448,Debit Card,100,34,15232
C0155,Customer 155,62,Male,Miami,O1155,2023-06-04,Electronics,Running Shoes,844,Debit Card,193,33,27852
C0156,Customer 156,32,Male,Miami,O1156,2023-06-05,Beauty,Lipstick,236,Net Banking,191,26,6136
C0157,Customer 157,60,Female,Miami,O1157,2023-06-06,Home Decor,Table Lamp,1477,Debit Card,51,2,2954
C0158,Customer 158,46,Male,Los Angeles,O1158,2023-06-07,Electronics,Smartphone,451,Net Banking,141,23,10373
C0159,Customer 159,53,Male,Houston,O1159,2023-06-08,Fashion,Running Shoes,405,PayPal,168,41,16605
C0160,Customer 160,30,Female,Houston,O1160,2023-06-09,Beauty,Lipstick,737,Debit Card,311,22,16214
C0161,Customer 161,49,Male,New York,O1161,2023-06-10,Electronics,Running Shoes,1614,Net Banking,109,34,54876
C0162,Customer 162,24,Male,Miami,O1162,2023-06-11,Sports,Smartphone,93,Debit Card,207,15,1395
C0163,Customer 163,39,Male,Houston,O1163,2023-06-12,Fashion,Table Lamp,1648,Debit Card,300,10,16480
C0164,Customer 164,45,Male,New York,O1164,2023-06-13,Electronics,Running Shoes,1584,Debit Card,110,15,23760
C0165,Customer 165,19,Female,Houston,O1165,2023-06-14,Fashion,Handbag,1046,Net Banking,196,42,43932
C0166,Customer 166,59,Female,Miami,O1166,2023-06-15,Fashion,Lipstick,1842,Credit Card,152,29,53418
C0167,Customer 167,62,Female,Chicago,O1167,2023-06-16,Home Decor,Running Shoes,1858,Debit Card,243,23,42734
C0168,Customer 168,23,Male,Miami,O1168,2023-06-17,Fashion,Lipstick,702,Debit Card,128,17,11934
C0169,Customer 169,45,Male,Los Angeles,O1169,2023-06-18,Home Decor,Handbag,502,PayPal,105,9,4518
C0170,Customer 170,45,Female,Houston,O1170,2023-06-19,Beauty,Table Lamp,1301,Credit Card,10,36,46836
C0171,Customer 171,61,Male,Houston,O1171,2023-06-20,Home Decor,Table Lamp,1558,Net Banking,356,9,14022
C0172,Customer 172,61,Male,Los Angeles,O1172,2023-06-21,Sports,Handbag,1153,PayPal,148,16,18448
C0173,Customer 173,37,Male,Los Angeles,O1173,2023-06-22,Electronics,Lipstick,979,Debit Card,364,36,35244
C0174,Customer 174,47,Male,Chicago,O1174,2023-06-23,Beauty,Running Shoes,362,PayPal,140,48,17376
C0175,Customer 175,28,Female,Houston,O1175,2023-06-24,Beauty,Handbag,1090,PayPal,190,33,35970
C0176,Customer 176,45,Female,Houston,O1176,2023-06-25,Sports,Smartphone,49,Debit Card,94,31,1519
C0177,Customer 177,42,Female,Chicago,O1177,2023-06-26,Home Decor,Lipstick,1919,Credit Card,229,6,11514
C0178,Customer 178,56,Male,New York,O1178,2023-06-27,Electronics,Table Lamp,1369,Credit Card,63,10,13690
C0179,Customer 179,50,Female,Chicago,O1179,2023-06-28,Home Decor,Handbag,649,PayPal,340,16,10384
C0180,Customer 180,18,Female,Miami,O1180,2023-06-29,Fashion,Table Lamp,182,Debit Card,25,4,728
C0181,Customer 181,44,Male,Houston,O1181,2023-06-30,Home Decor,Lipstick,1580,Net Banking,268,22,34760
C0182,Customer 182,30,Male,Los Angeles,O1182,2023-07-01,Beauty,Table Lamp,268,PayPal,281,13,3484
C0183,Customer 183,58,Female,Miami,O1183,2023-07-02,Electronics,Handbag,1921,Net Banking,11,16,30736
C0184,Customer 184,20,Female,Houston,O1184,2023-07-03,Home Decor,Lipstick,526,PayPal,320,29,15254
C0185,Customer 185,56,Female,Chicago,O1185,2023-07-04,Electronics,Smartphone,739,PayPal,201,6,4434
C0186,Customer 186,23,Female,Miami,O1186,2023-07-05,Electronics,Handbag,532,Debit Card,126,26,13832
C0187,Customer 187,25,Male,Houston,O1187,2023-07-06,Fashion,Running Shoes,1927,Debit Card,306,11,21197
C0188,Customer 188,44,Female,New York,O1188,2023-07-07,Fashion,Handbag,848,Net Banking,190,24,20352
C0189,Customer 189,26,Female,New York,O1189,2023-07-08,Beauty,Lipstick,126,Net Banking,89,29,3654
C0190,Customer 190,54,Male,Los Angeles,O1190,2023-07-09,Sports,Handbag,193,Credit Card,355,3,579
C0191,Customer 191,50,Female,Houston,O1191,2023-07-10,Electronics,Smartphone,1939,Debit Card,116,10,19390
C0192,Customer 192,59,Male,New York,O1192,2023-07-11,Sports,Smartphone,1907,PayPal,352,1,1907
C0193,Customer 193,61,Male,Chicago,O1193,2023-07-12,Beauty,Running Shoes,1149,PayPal,177,43,49407
C0194,Customer 194,41,Male,Houston,O1194,2023-07-13,Electronics,Table Lamp,171,Credit Card,14,26,4446
C0195,Customer 195,32,Female,Chicago,O1195,2023-07-14,Electronics,Lipstick,1612,Debit Card,257,12,19344
C0196,Customer 196,49,Female,Chicago,O1196,2023-07-15,Sports,Lipstick,1745,PayPal,209,14,24430
C0197,Customer 197,49,Male,New York,O1197,2023-07-16,Home Decor,Table Lamp,552,Credit Card,281,25,13800
C0198,Customer 198,41,Female,Houston,O1198,2023-07-17,Fashion,Smartphone,1620,Credit Card,328,8,12960
C0199,Customer 199,58,Female,Miami,O1199,2023-07-18,Home Decor,Smartphone,1270,PayPal,325,43,54610
C0200,Customer 200,29,Male,New York,O1200,2023-07-19,Sports,Handbag,848,PayPal,105,4,3392
C0201,Customer 201,56,Male,New York,O1201,2023-07-20,Fashion,Running Shoes,1099,Net Banking,147,28,30772
C0202,Customer 202,19,Female,Houston,O1202,2023-07-21,Home Decor,Running Shoes,1103,Debit Card,279,7,7721
C0203,Customer 203,20,Male,Houston,O1203,2023-07-22,Fashion,Running Shoes,1842,Net Banking,9,10,18420
C0204,Customer 204,54,Female,Chicago,O1204,2023-07-23,Electronics,Handbag,456,Credit Card,118,36,16416
C0205,Customer 205,34,Female,Houston,O1205,2023-07-24,Home Decor,Running Shoes,425,PayPal,94,2,850
C0206,Customer 206,19,Female,Chicago,O1206,2023-07-25,Fashion,Table Lamp,541,Net Banking,144,26,14066
C0207,Customer 207,19,Female,New York,O1207,2023-07-26,Fashion,Handbag,450,Credit Card,289,14,6300
C0208,Customer 208,45,Male,Los Angeles,O1208,2023-07-27,Fashion,Table Lamp,747,Debit Card,14,16,11952
C0209,Customer 209,40,Male,Miami,O1209,2023-07-28,Home Decor,Handbag,1979,PayPal,257,43,85097
C0210,Customer 210,54,Male,New York,O1210,2023-07-29,Beauty,Running Shoes,473,Net Banking,346,42,19866
C0211,Customer 211,49,Male,Houston,O1211,2023-07-30,Home Decor,Table Lamp,1954,Debit Card,186,17,33218
C0212,Customer 212,50,Female,Miami,O1212,2023-07-31,Sports,Table Lamp,405,Net Banking,345,46,18630
C0213,Customer 213,18,Female,Los Angeles,O1213,2023-08-01,Home Decor,Table Lamp,720,Credit Card,207,22,15840
C0214,Customer 214,36,Male,Los Angeles,O1214,2023-08-02,Fashion,Handbag,1584,Debit Card,346,4,6336
C0215,Customer 215,19,Female,Chicago,O1215,2023-08-03,Electronics,Lipstick,1690,Net Banking,172,19,32110
C0216,Customer 216,61,Female,Miami,O1216,2023-08-04,Home Decor,Running Shoes,1590,Debit Card,270,2,3180
C0217,Customer 217,43,Female,Chicago,O1217,2023-08-05,Home Decor,Table Lamp,404,Credit Card,221,39,15756
C0218,Customer 218,49,Male,New York,O1218,2023-08-06,Fashion,Lipstick,335,Debit Card,152,9,3015
C0219,Customer 219,23,Male,Miami,O1219,2023-08-07,Electronics,Running Shoes,1926,Net Banking,111,19,36594
C0220,Customer 220,49,Male,New York,O1220,2023-08-08,Electronics,Running Shoes,1952,Credit Card,183,16,31232
C0221,Customer 221,21,Female,Chicago,O1221,2023-08-09,Sports,Table Lamp,1124,PayPal,339,25,28100
C0222,Customer 222,28,Male,Miami,O1222,2023-08-10,Home Decor,Table Lamp,759,Net Banking,72,48,36432
C0223,Customer 223,34,Male,Chicago,O1223,2023-08-11,Electronics,Handbag,1103,Net Banking,283,18,19854
C0224,Customer 224,55,Male,Miami,O1224,2023-08-12,Electronics,Lipstick,1199,Credit Card,74,23,27577
C0225,Customer 225,41,Male,Chicago,O1225,2023-08-13,Beauty,Lipstick,651,Credit Card,355,21,13671
C0226,Customer 226,22,Male,Los Angeles,O1226,2023-08-14,Beauty,Table Lamp,223,PayPal,215,11,2453
C0227,Customer 227,51,Male,Chicago,O1227,2023-08-15,Electronics,Running Shoes,1885,Net Banking,328,39,73515
C0228,Customer 228,23,Female,Los Angeles,O1228,2023-08-16,Sports,Table Lamp,1634,Credit Card,23,41,66994
C0229,Customer 229,39,Female,Chicago,O1229,2023-08-17,Electronics,Running Shoes,1368,PayPal,68,4,5472
C0230,Customer 230,28,Male,Miami,O1230,2023-08-18,Fashion,Running Shoes,1797,PayPal,362,25,44925
C0231,Customer 231,33,Male,Miami,O1231,2023-08-19,Home Decor,Table Lamp,378,Credit Card,93,32,12096
C0232,Customer 232,50,Female,Miami,O1232,2023-08-20,Sports,Smartphone,1894,Net Banking,321,30,56820
C0233,Customer 233,26,Female,Houston,O1233,2023-08-21,Fashion,Lipstick,1617,Debit Card,324,45,72765
C0234,Customer 234,23,Male,New York,O1234,2023-08-22,Sports,Running Shoes,1710,Debit Card,63,26,44460
C0235,Customer 235,33,Male,Miami,O1235,2023-08-23,Fashion,Running Shoes,58,PayPal,224,36,2088
C0236,Customer 236,46,Male,Los Angeles,O1236,2023-08-24,Home Decor,Smartphone,1085,Debit Card,225,34,36890
C0237,Customer 237,20,Male,Miami,O1237,2023-08-25,Home Decor,Handbag,1322,Debit Card,346,9,11898
C0238,Customer 238,37,Female,Houston,O1238,2023-08-26,Beauty,Smartphone,1823,Credit Card,337,12,21876
C0239,Customer 239,53,Male,Los Angeles,O1239,2023-08-27,Fashion,Smartphone,1659,PayPal,103,2,3318
C0240,Customer 240,36,Male,Houston,O1240,2023-08-28,Beauty,Running Shoes,1272,Net Banking,215,38,48336
C0241,Customer 241,43,Male,Los Angeles,O1241,2023-08-29,Fashion,Lipstick,142,PayPal,192,5,710
C0242,Customer 242,20,Male,Chicago,O1242,2023-08-30,Beauty,Smartphone,1008,Credit Card,160,5,5040
